STREAM_DIST,BASE_AREA,BASIN,CURVATURE,CURVE_CONT,CURVE_PROF,CURVES,DROP,ROCK_DIST,FLOW_DIR,FOS,ELEVATION,COHESION,SCARP_DIST,SCARPS,FRICTION_ANGLE,SLOPE,SLOPE_LEG,WOODS,SPECIFIC_WT
0.0,5068000.0,17.0,10.356565,12.588444,7.318981,0.1134298,16.66667,0.0,8.0,1.166745,1031.3,10.0,40.0,0,17.0,9.759456,400.8319,1,20.0
100.0,5068000.0,17.0,12.2342205,11.308039,7.916231,0.1975941,45.0,0.0,8.0,0.7437014,1175.912,10.0,113.1371,0,17.0,15.87557,814.1984,1,20.0
100.0,79200.0,51.0,9.319929,13.305226,6.9991283,0.1109462,10.0,0.0,16.0,3.252539,620.0933,20.0,72.11102,0,25.0,9.920537,539.09,0,23.0
56.56854,5068000.0,17.0,10.673216,12.668458,7.715646,0.1532078,21.66667,0.0,8.0,1.25294,1157.156,10.0,20.0,0,17.0,13.41835,461.9111,1,20.0
20.0,5068000.0,17.0,9.976896,12.368195,6.7190633,0.1167655,20.0,0.0,4.0,0.9876016,1043.628,10.0,0.0,1,17.0,8.245205,325.5764,1,20.0
28.28427,5068000.0,17.0,11.061522,12.559575,7.9950695,0.08550207,15.0,0.0,32.0,1.516775,803.2677,10.0,128.0625,0,17.0,9.076771,419.4733,0,20.0
89.44272,5068000.0,17.0,10.107435,13.148812,7.63022,0.472969,82.5,0.0,4.0,1.555269,742.1899,50.0,40.0,0,45.0,42.36375,320.0,1,25.0
40.0,5068000.0,17.0,10.534239,12.677141,7.5853524,0.1146313,15.0,0.0,8.0,1.645095,1045.563,10.0,89.44272,0,17.0,9.845308,532.2153,1,20.0
80.0,301200.0,46.0,12.23657,11.519861,8.130404,0.2694316,50.0,0.0,8.0,1.082628,634.3959,20.0,60.0,0,25.0,23.96343,541.7358,0,23.0
80.0,5068000.0,17.0,10.344572,12.705481,7.424025,0.1248176,21.66667,0.0,8.0,1.560488,1200.068,10.0,44.72136,0,23.0,14.29761,632.7347,0,19.0
